index;x;y;z
0;-0.021207;-0.195849;-0.139384
1;-0.328739;-0.236036;-0.296457
2;-0.293109;-0.205487;-0.224079
3;-0.314423;-0.189315;-0.299561
4;-0.443674;-0.286038;-0.317322
5;-0.142218;-0.220752;-0.096713
6;-0.291913;-0.139440;-0.243050
7;-0.132489;0.028065;-0.033610
8;0.117551;0.477743;0.144540
9;0.781764;0.959720;0.499494
10;1.019740;1.304106;0.078745
11;0.949211;0.951847;0.120532
12;0.295830;0.738443;0.534370
13;-0.252581;0.580566;-0.009001
14;-0.789629;0.195718;-0.146930
15;-1.200840;-0.136613;-0.244357
16;-1.532045;-0.399451;-0.751514
17;-1.467635;-0.606981;-0.763807
18;-1.614748;-0.602369;-0.785423
19;-1.441405;-0.258293;-0.727917
20;-1.386470;-0.077760;-0.433720
21;-1.241877;0.634038;-0.069268
22;-0.775921;1.019962;-0.033752
23;-0.426827;1.128087;-0.149570
24;0.135280;1.296013;-0.016339
25;1.447217;1.597210;0.563495
26;1.286319;1.264682;0.364669
27;1.109236;1.317186;0.149738
28;1.044313;1.076663;0.251029
29;0.722126;1.238698;0.687738
30;0.076868;1.251516;0.063506
31;-0.688911;0.664638;0.106332
32;-0.779366;0.380952;0.190079
33;-1.120440;0.060020;-0.105408
34;-1.283076;-0.222177;-0.194847
35;-1.456283;-0.309326;-0.464447
36;-1.534075;-0.286680;-0.570417
37;-1.236468;-0.161082;-0.366843
38;-1.213258;-0.134764;-0.419670
39;-1.026508;0.348860;-0.222775
40;-0.612018;0.628462;-0.164663
41;-0.125305;0.788718;-0.228195
42;0.534661;0.858965;-0.075443
43;0.962685;0.983040;0.084617
44;1.857933;1.355318;0.416536
45;1.264138;1.041466;-0.170884
46;0.804735;1.071523;0.232432
47;0.401914;0.990299;0.108475
48;-0.224768;0.672388;0.380604
49;-0.360463;0.452987;0.044096
50;-0.620829;0.063857;-0.123996
51;-0.983034;-0.344589;0.289691
52;-0.836860;-0.279422;-0.281353
53;-1.063700;-0.280701;-0.555312
54;-1.369618;-0.354978;-0.020415
55;-1.121664;0.011111;-0.458099
56;-1.022540;-0.078344;-0.238478
57;-0.844171;0.208275;-0.029592
58;-0.464156;0.392824;-0.178751
59;-0.041781;0.720657;-0.296485
60;0.404171;0.897271;0.035685
61;1.036544;0.977923;0.082287
62;1.592893;1.207599;0.929833
63;1.081323;0.853849;0.275302
64;0.757016;0.966116;0.579710
65;0.517829;0.982087;-0.029892
66;-0.148883;0.692633;-0.068436
67;-0.379620;0.382219;0.231482
68;-0.607388;0.098635;-0.200618
69;-0.825325;-0.254236;-0.286246
70;-1.025994;-0.349727;-0.528242
71;-1.409498;-0.455214;-0.314097
72;-1.401141;-0.138312;-0.425725
73;-1.182873;-0.175180;-0.516531
74;-0.869693;0.281403;-0.421333
75;-0.236201;0.671572;-0.277501
76;0.197972;0.665895;-0.001717
77;0.532875;0.504258;-0.025222
78;0.806254;0.592998;0.245055
79;1.068174;0.542610;0.244786
80;0.985448;0.664951;0.298822
81;0.683986;0.760504;0.364429
82;0.443799;0.712695;0.217160
83;0.091252;0.676005;-0.121339
84;-0.291465;0.362397;0.173005
85;-0.067497;0.154712;-0.002730
86;-0.290657;-0.155310;-0.092361
87;-0.489791;-0.410654;-0.146239
88;-0.484579;-0.433596;-0.351168
89;-0.682823;-0.541325;-0.433791
90;-0.573197;-0.336404;-0.186357
91;-0.609451;0.284865;-0.331991
92;-0.368987;0.337342;-0.234227
93;-0.092862;0.592114;-0.302180
94;0.547985;0.645078;0.219482
95;0.233070;0.392421;0.265671
96;0.748708;0.351915;0.300305
97;0.546020;0.201015;0.274510
98;0.535002;0.132333;0.416083
99;0.157510;0.308360;0.412251
100;0.146185;0.209044;0.059898
101;0.062150;0.153552;0.127484
102;0.096566;0.010560;0.055224
103;0.009822;-0.021287;0.065542
104;-0.021531;0.037230;0.057842
105;-0.024909;0.013826;0.022790
106;-0.002707;-0.010222;-0.056188
107;-0.006734;-0.065732;0.087343
108;-0.006130;-0.029222;0.060897
