index;x;y;z
0;-0.432419;0.892227;-0.173889
1;-0.427444;0.888214;-0.173279
2;-0.422318;0.895630;-0.166138
3;-0.425659;0.882278;-0.157425
4;-0.426773;0.889008;-0.165146
5;-0.420609;0.890686;-0.162170
6;-0.425507;0.891266;-0.160019
7;-0.428711;0.891525;-0.158096
8;-0.422073;0.887878;-0.153961
9;-0.423523;0.897064;-0.157181
10;-0.423187;0.892700;-0.164520
11;-0.433075;0.886856;-0.155151
12;-0.432281;0.892197;-0.152832
13;-0.420746;0.885620;-0.158127
14;-0.432983;0.887390;-0.156189
15;-0.434006;0.885788;-0.165146
16;-0.433029;0.881027;-0.154968
17;-0.428375;0.895432;-0.177490
18;-0.419647;0.885406;-0.164001
19;-0.428421;0.892151;-0.164062
20;-0.425873;0.888245;-0.148895
21;-0.416077;0.890045;-0.148499
22;-0.413132;0.896057;-0.167511
23;-0.428726;0.890152;-0.153427
24;-0.432281;0.897705;-0.158600
25;-0.420731;0.895508;-0.155914
26;-0.421127;0.893967;-0.167099
27;-0.423279;0.890549;-0.160004
28;-0.416473;0.896667;-0.167969
29;-0.406540;0.902313;-0.184219
30;-0.427887;0.881607;-0.144424
31;-0.428467;0.884415;-0.155533
32;-0.414505;0.895508;-0.157150
33;-0.403168;0.906372;-0.172729
34;-0.408798;0.897308;-0.171036
35;-0.422379;0.891479;-0.144516
36;-0.415359;0.890549;-0.165649
37;-0.410248;0.898285;-0.155472
38;-0.421524;0.897842;-0.166763
39;-0.422302;0.895493;-0.158905
40;-0.418915;0.891998;-0.160599
41;-0.416245;0.894821;-0.171173
42;-0.417603;0.892822;-0.168243
43;-0.425323;0.885757;-0.153030
44;-0.425583;0.891632;-0.161621
45;-0.418198;0.896576;-0.163864
46;-0.422440;0.894470;-0.168518
47;-0.430771;0.889465;-0.151764
48;-0.416580;0.899872;-0.154587
49;-0.418808;0.896332;-0.167984
50;-0.425903;0.897003;-0.161484
51;-0.423645;0.891556;-0.163254
52;-0.419342;0.888840;-0.164825
53;-0.414658;0.894913;-0.169861
54;-0.409134;0.894196;-0.163544
55;-0.423477;0.891098;-0.159714
56;-0.423019;0.886627;-0.163742
57;-0.418015;0.890457;-0.158875
58;-0.422684;0.895187;-0.168854
59;-0.427292;0.889908;-0.163666
60;-0.427689;0.890228;-0.160507
61;-0.424164;0.895615;-0.161911
62;-0.420456;0.897034;-0.156693
63;-0.416733;0.896286;-0.178894
64;-0.418884;0.886002;-0.142487
65;-0.418640;0.898163;-0.147675
66;-0.409180;0.898331;-0.166550
67;-0.412140;0.902145;-0.161789
68;-0.407562;0.893829;-0.155975
69;-0.413635;0.897217;-0.150787
70;-0.408463;0.890640;-0.163635
71;-0.421646;0.893082;-0.148575
72;-0.411057;0.905746;-0.163086
73;-0.410873;0.903046;-0.161911
74;-0.414047;0.897125;-0.149521
75;-0.411621;0.899506;-0.145493
76;-0.403702;0.899475;-0.160782
77;-0.407745;0.901581;-0.156464
78;-0.407043;0.897156;-0.159058
79;-0.396637;0.904648;-0.151199
80;-0.396622;0.904907;-0.168091
81;-0.402176;0.898041;-0.149185
82;-0.404190;0.895416;-0.145966
83;-0.402206;0.903061;-0.161713
84;-0.402237;0.899475;-0.160446
85;-0.404221;0.894531;-0.150726
86;-0.387756;0.890152;-0.148956
87;-0.383713;0.882675;-0.147598
88;-0.385071;0.919678;-0.160034
89;-0.327057;0.944321;-0.134979
90;-0.274994;0.924911;-0.164459
91;-0.280685;0.913406;-0.102768
92;-0.329651;0.920929;-0.115509
93;-0.360977;0.956482;-0.109833
94;-0.387253;0.994263;-0.120102
95;-0.410873;0.937881;-0.063568
96;-0.482147;0.871078;-0.024185
97;-0.475098;0.877838;-0.048691
98;-0.546921;0.879837;-0.137451
99;-0.604858;0.832260;-0.077545
100;-0.659653;0.853317;-0.069214
101;-0.681870;0.877213;-0.148941
102;-0.748550;0.993378;-0.169678
103;-0.883698;1.003418;-0.210373
104;-0.946793;1.059189;-0.259109
105;-0.926331;1.186020;-0.185776
106;-0.867752;1.319305;-0.202103
107;-0.765228;1.282074;-0.136490
108;-0.678116;1.134109;-0.065414
109;-0.569244;0.981293;0.000244
110;-0.443588;0.827591;0.039444
111;-0.369431;0.654587;0.027313
112;-0.291046;0.598190;0.090607
113;-0.190063;0.609024;0.098450
114;-0.219452;0.783722;0.081055
115;-0.360580;1.104401;0.146759
116;-0.458435;1.275192;-0.002533
117;-0.632065;1.333801;-0.121201
118;-0.698669;1.361649;-0.039963
119;-0.781326;1.330505;-0.038803
